sector;Institución;Código Institución;RUT Unidad de Compra;Código Unidad de Compra;Unidad de Compra;Región Unidad de Compra
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;3742;ESCUELA ARAGON;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;3743;LICEO CEIA ANTONIO ACEVEDO HERNANDEZ;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;5177;REPUBLICA FEDERAL ALEMANIA;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;5178;COLEGIO HERMANOS CARRERA;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;5180;COLEGIO MARIA SYLVESTER RASCH;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;5181;ESCUELA VILLA HUEQUEN;Araucanía
Municipalidades;I MUNICIPALIDAD DE SAN FELIPE;100158;69.050.600-9;3726;ADQUISICIONES MUNISANFE;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN FELIPE;100158;69.050.600-9;3727;ADQUISICIONES EDUCACION;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN FELIPE;100158;69.050.600-9;3730;SECPLA - MUNISANFE;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN FELIPE;100158;69.050.600-9;3847;ADQUISICIONES LICEO POLITECNICO;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN FELIPE;100158;69.050.600-9;525800;CESFAM SEGISMUNDO ITURRA TAITO;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN FELIPE;100158;69.050.600-9;6088;MUNISANFELIPESALUD;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN FELIPE;100158;69.050.600-9;619566;CECOSF;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN FELIPE;100158;69.050.600-9;619567;SAPU;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN FELIPE;100158;69.050.600-9;619568;DIRECCION DE SALUD;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN FELIPE;100158;69.050.600-9;619578;CESFAM CURIMON;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN ANTONIO;100318;69.073.400-1;3744;IMUNICIPALIDAD DE SAN ANTONIO;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN ANTONIO;100318;69.073.400-1;3745;DEM;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN ANTONIO;100318;69.073.400-1;3746;SALUD;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN ANTONIO;100318;69.073.400-1;3747;OBRAS- IMSA;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN ANTONIO;100318;69.073.400-1;536337;SECPLAC- IMSA;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN ANTONIO;100318;69.073.400-1;751919;GESTION FISICA;Valparaíso
Municipalidades;I MUNICIPALIDAD DE CORONEL;100448;69.151.200-2;3748;DEPTO. ADQUISICIONES MUNICIPIO;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE CORONEL;100448;69.151.200-2;3749;SECRETARIA COMUNAL DE PLANIFICACION;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE CORONEL;100448;69.151.200-2;3750;DIRECCION DE OBRAS MUNICIPALES;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE CORONEL;100448;69.151.202-9;3751;DEPARTAMENTO ADMINISTRACION SALUD MUNICIPAL;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE CORONEL;100448;69.151.201-0;3752;DEP. DE EDUCACION MUNICIPAL DE CORONEL;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE LA CISTERNA;100488;69.072.000-0;3754;MUNICIPAL;Metropolitana
Municipalidades;I MUNICIPALIDAD DE LA CISTERNA;100488;69.072.000-0;3755;SALUD;Metropolitana
Municipalidades;I MUNICIPALIDAD DE LA CISTERNA;100488;69.072.000-0;3756;SECPLAC;Metropolitana
Municipalidades;I MUNICIPALIDAD DE LA CISTERNA;100488;69.072.000-0;3758;EDUCACIÓN;Metropolitana
Municipalidades;I MUNICIPALIDAD DE CHIGUAYANTE;100523;69.264.700-9;1086080;BIENESTAR SALUD;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE CHIGUAYANTE;100523;69.264.700-9;3760;MUNICIPALIDAD DE CHIGUAYANTE;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE CHIGUAYANTE;100523;69.264.700-9;3761;SECRETARIA COMUNAL DE PLANIFICACION;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE CHIGUAYANTE;100523;69.264.700-9;3762;DIRECCION DE ADMINISTRACION DE SALUD;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE CHIGUAYANTE;100523;69.264.700-9;3763;DIRECCION DE EDUCACION MUNICIPAL;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE CHIGUAYANTE;100523;69.264.700-9;3796;SERVICIO BIENESTAR;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE CHIGUAYANTE;100523;69.264.700-9;511734;CEMENTERIO;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE RENGO;100555;69.081.200-2;3764;SECPLAC;Lib. Gral. Bdo. O'Higgins
Municipalidades;I MUNICIPALIDAD DE RENGO;100555;69.081.200-2;3765;ADQUISICION MUNICIPAL;Lib. Gral. Bdo. O'Higgins
Municipalidades;I MUNICIPALIDAD DE RENGO;100555;69.081.200-2;3766;ADQUISICION MUNI-SALUD;Lib. Gral. Bdo. O'Higgins
Municipalidades;I MUNICIPALIDAD DE RENGO;100555;69.081.200-2;3767;ADQUISICION MUNI-EDUCACION;Lib. Gral. Bdo. O'Higgins
Municipalidades;ILUSTRE MUNICIPALIDAD DE LA LIGUA;100648;69.050.100-7;1143665;EMERGENCIA COVID-19 ADMINISTRACIÓN;Valparaíso
Municipalidades;ILUSTRE MUNICIPALIDAD DE LA LIGUA;100648;69.050.100-7;3768;AGENCIA DESARROLLO ECONOMICO;Valparaíso
Municipalidades;ILUSTRE MUNICIPALIDAD DE LA LIGUA;100648;69.050.100-7;3769;DEPARTAMENTO DE SALUD MUNICIPAL;Valparaíso
Municipalidades;ILUSTRE MUNICIPALIDAD DE LA LIGUA;100648;69.050.100-7;3770;LICEO PULMAHUE;Valparaíso
Municipalidades;ILUSTRE MUNICIPALIDAD DE LA LIGUA;100648;69.050.100-7;3771;DEPARTAMENTO DE EDUCACION MUNICIPAL;Valparaíso
Municipalidades;ILUSTRE MUNICIPALIDAD DE LA LIGUA;100648;69.050.100-7;3772;DIRECCION DE ADMINISTRACION Y FINANZAS;Valparaíso
Municipalidades;ILUSTRE MUNICIPALIDAD DE LA LIGUA;100648;69.050.100-7;3773;SECRETARIA DE PLANIFICACION;Valparaíso
Municipalidades;I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ;100704;69.264.800-5;3774;MUNICIPALIDAD DE SAN PEDRO DE LA PAZ;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ;100704;69.264.800-5;3775;DIRECCION DE ADMINISTRACION DE  SALUD ;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ;100704;69.264.800-5;3776;DIRECCION DE EDUCACION MUNICIPAL;Bío-Bío
Municipalidades;I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ;100704;74.269.500-K;952752;DAEM SAN PEDRO DE LA PAZ;Bío-Bío
Municipalidades;ILUSTRE MUNICIPALIDAD DE PAINE;100728;69.072.600-9;3777;DEPARTAMENTO DE ADQUISICIONES;Metropolitana
Municipalidades;ILUSTRE MUNICIPALIDAD DE PAINE;100728;69.072.600-9;3778;DEPARTAMENTO DE EDUCACION MUNICIPAL;Metropolitana
Municipalidades;ILUSTRE MUNICIPALIDAD DE PAINE;100728;69.072.600-9;3779;DEPARTAMENTO DE SALUD MUNICIPAL;Metropolitana
Municipalidades;MUNICIPALIDAD DE HUECHURABA;100739;69.255.400-0;3780;DEPARTAMENTO DE EDUCACIÓN MUNICIPAL;Metropolitana
Municipalidades;MUNICIPALIDAD DE HUECHURABA;100739;69.255.400-0;3781;DEPARTAMENTO DE SALUD MUNICIPAL;Metropolitana
Municipalidades;MUNICIPALIDAD DE HUECHURABA;100739;69.255.400-0;3782;MUNICIPALIDAD DE HUECHURABA;Metropolitana
Municipalidades;I. MUNICIPALIDAD DE LOS ANDES;101002;69.051.100-2;3783;SECRETARIA COMUNAL DE PLANIFICACIÓN;Valparaíso
Municipalidades;I. MUNICIPALIDAD DE LOS ANDES;101002;69.051.100-2;3784;DIRECCION DE DESARROLLO COMUNITARIO;Valparaíso
Municipalidades;I. MUNICIPALIDAD DE LOS ANDES;101002;69.051.100-2;3788;ADMINISTRACION MUNICIPAL;Valparaíso
Municipalidades;I. MUNICIPALIDAD DE LOS ANDES;101002;69.051.100-2;3789;DEPARTAMENTO DE EDUCACIÓN MUNICIPAL;Valparaíso
Municipalidades;I. MUNICIPALIDAD DE LOS ANDES;101002;69.051.100-2;3792;DEPARTAMENTO DE SALUD MUNICIPAL;Valparaíso
Municipalidades;I. MUNICIPALIDAD DE LOS ANDES;101002;69.051.100-2;3793;LICEO MAXIMILIANO SALAS MARCHAN;Valparaíso
Municipalidades;I. MUNICIPALIDAD DE LOS ANDES;101002;69.051.100-2;571041;SERVICIOS GENERALES;Valparaíso
Municipalidades;I MUNICIPALIDAD DE CONSTITUCION;102316;69.120.100-7;3811;DEPARTAMENTO DE SALUD;Maule
Municipalidades;I MUNICIPALIDAD DE CONSTITUCION;102316;69.120.100-7;3812;DEPARTAMENTO DE EDUCACION;Maule
Municipalidades;I MUNICIPALIDAD DE CONSTITUCION;102316;69.120.100-7;3813;MUNICIPAL;Maule
Municipalidades;I MUNICIPALIDAD DE PUERTO VARAS;102868;69.220.200-7;3838;ADQUISICIONES MUNICIPALIDAD;Los Lagos
Municipalidades;I MUNICIPALIDAD DE PUERTO VARAS;102868;69.220.200-7;3839;DEPARTAMENTO DE EDUCACIÓN MUNICIPAL;Los Lagos
Municipalidades;I MUNICIPALIDAD DE PUERTO VARAS;102868;69.220.200-7;3840;DEPARTAMENTO DE SALUD MUNICIPAL;Los Lagos
Municipalidades;I MUNICIPALIDAD DE PUERTO VARAS;102868;69.220.200-7;3841;CONSULTORIO;Los Lagos
Municipalidades;I MUNICIPALIDAD DE PUERTO VARAS;102868;69.220.200-7;660872;SECPLA;Los Lagos
Municipalidades;I MUNICIPALIDAD DE PUERTO VARAS;102868;69.220.200-7;832853;SERVICIO DE BIENESTAR DEPARTAMENTO DE SALUD;Los Lagos
Municipalidades; CORPORACION MUNICIPAL DE PEÑALOLEN PARA EL DESARROLLO SOCIAL ;1034640;71.234.100-9;514862;CORPORACIÓN MUNICIPAL DE PEÑALOLÉN;Metropolitana
Municipalidades;CORP MUNICIPAL DE SERVICIOS Y DESARROLLO;1035946;71.309.800-0;515568;CODEDUC;Metropolitana
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;1019183;FACULTAD DE MEDICINA;Atacama
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;306247;FACULTAD DE HUMANIDADES Y EDUCACION;Atacama
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;306248;IDICTEC;Atacama
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;306250;INSTITUTO TECNOLOGICO;Atacama
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;306251;FACULTAD DE CIENCIAS NATURALES;Atacama
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;3844;SECCIÓN CONTRATOS;Atacama
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;3845;SECCIÓN ABASTECIMIENTO;Atacama
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;511451;FACULTAD CIENCIAS JURIDICAS;Atacama
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;511505;FACULTAD DE INGENIERIA (1);Atacama
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;511816;PROYECTO CRIDESAT;Atacama
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;606170;PLANIFICACION;Tarapacá
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;607603;SEDE VALLENAR;Atacama
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;810406;CAMPUS CORDILLERA;Atacama
Gob. Central, Universidades;UNIVERSIDAD DE ATACAMA;103916;71.236.700-8;821519;DIRECCION DE INVESTIGACION Y POST-GRADO;Atacama
Otros;HERMANAS MISIONERAS FRANCISCANAS DE PURULÓN;103933;65.305.530-7;3846;DEPARTAMENTO DE ADQUISICIONES;Araucanía
Gob. Central, Universidades;INSTITUTO NACIONAL DE PROPIEDAD INDUSTRIAL;1042394;65.999.669-3;519302;SERVICIOS GENERALES;Metropolitana
Municipalidades;I MUNICIPALIDAD PUERTO OCTAY;104899;69.210.400-5;304858;TURISMO Y FOMENTO PRODUCTIVO ;Los Lagos
Municipalidades;I MUNICIPALIDAD PUERTO OCTAY;104899;69.210.400-5;3848;IMUNICIPALIDAD DE PUERTO OCTAY DEPTO. ADM. Y FINANZAS;Los Lagos
Municipalidades;I MUNICIPALIDAD PUERTO OCTAY;104899;69.210.400-5;3849;IMUNICIPALIDAD DE PUERTO OCTAY DEPTO. SALUD;Los Lagos
Municipalidades;I MUNICIPALIDAD PUERTO OCTAY;104899;69.210.400-5;3850;IMUNICIPALIDAD DE PUERTO OCTAY DEPTO. EDUCACION;Los Lagos
Municipalidades;I MUNICIPALIDAD PUERTO OCTAY;104899;69.210.400-5;5864;IMUNICIPALIDAD DE PUERTO OCTAY DEPTO. OBRAS ;Los Lagos
Municipalidades;I MUNICIPALIDAD PUERTO OCTAY;104899;69.210.400-5;5865;IMUNICIPALIDAD DE PUERTO OCTAY DEPTO. SOCIAL ;Los Lagos
Municipalidades;I MUNICIPALIDAD PUERTO OCTAY;104899;69.210.400-5;5866;IMUNICIPALIDAD DE PUERTO OCTAY PRODESAL I;Los Lagos
Municipalidades;I MUNICIPALIDAD PUERTO OCTAY;104899;69.210.400-5;739231;SECPLAN;Los Lagos
Municipalidades;I MUNICIPALIDAD PUERTO OCTAY;104899;69.210.400-5;775119;SECPLAN - PROYECTOS;Los Lagos
Municipalidades;I MUNICIPALIDAD DE PUYEHUE;105334;69.210.600-8;3871;DIRECCION DE ADMINISTRACION Y FINANZAS;Los Lagos
Municipalidades;I MUNICIPALIDAD DE PUYEHUE;105334;69.210.600-8;3872;DEPARTAMENTO EDUCACION MUNICIPAL;Los Lagos
Municipalidades;I MUNICIPALIDAD DE PUYEHUE;105334;69.210.600-8;3873;DEPARTAMENTO DE SALUD;Los Lagos
Municipalidades;I MUNICIPALIDAD DE COLCHANE;1053458;69.250.400-3;525512;ILUSTRE MUNICIPALIDAD DE COLCHANE;Tarapacá
Municipalidades;I MUNICIPALIDAD DE COLCHANE;1053458;69.250.400-3;722640;DEPTO SALUD;Tarapacá
Municipalidades;I MUNICIPALIDAD DE COLCHANE;1053458;69.250.400-3;722641;DEPTO EDUCACION;Tarapacá
Municipalidades;ILUSTRE MUNICIPALIDAD DE TORRES DEL PAIN;106000;69.251.700-8;1040682;DOM;Magallanes y Antártica
Municipalidades;ILUSTRE MUNICIPALIDAD DE TORRES DEL PAIN;106000;69.251.700-8;3880;SALUD;Magallanes y Antártica
Municipalidades;ILUSTRE MUNICIPALIDAD DE TORRES DEL PAIN;106000;69.251.700-8;3884;SECPLAN;Magallanes y Antártica
Municipalidades;ILUSTRE MUNICIPALIDAD DE TORRES DEL PAIN;106000;69.251.700-8;3885;ADMUNI.;Magallanes y Antártica
Municipalidades;ILUSTRE MUNICIPALIDAD DE TORRES DEL PAIN;106000;69.251.700-8;5469;ALCALDIA;Magallanes y Antártica
Municipalidades;ILUSTRE MUNICIPALIDAD DE TORRES DEL PAIN;106000;69.251.700-8;5505;ADQUISICIONES;Magallanes y Antártica
Gob. Central, Universidades;CONSEJO PARA LA TRANSPARENCIA;1060064;61.979.430-3;529229;CONSEJO PARA LA TRANSPARENCIA;Metropolitana
Municipalidades;I MUNICIPALIDAD DE HUALAIHUE;106170;69.252.200-1;3888;DEPARTAMENTO EDUCACION;Los Lagos
Municipalidades;I MUNICIPALIDAD DE HUALAIHUE;106170;69.252.200-1;3890;DEPARTAMENTO DE ADMINISTRACION;Los Lagos
Municipalidades;LICEO EL ROSARIO;1065029;60.923.268-4;531984;LICEO EL ROSARIO;Lib. Gral. Bdo. O'Higgins
Municipalidades;I MUNICIPALIDAD DE LANCO;106876;69.200.300-4;3891;ADMINISTRACIÓN Y FINANZAS;Los Ríos
Municipalidades;I MUNICIPALIDAD DE LANCO;106876;69.200.300-4;3893;DEPARTAMENTO DE EDUCACIÓN;Los Ríos
Municipalidades;I MUNICIPALIDAD DE LANCO;106876;69.200.300-4;3894;DEPARTAMENTO DE SALUD;Los Ríos
Municipalidades;I MUNICIPALIDAD DE FUTRONO;106880;69.200.700-K;1105450;DIRECCION DE TURISMO Y DESARROLLO ESTRATEGICO;Los Ríos
Municipalidades;I MUNICIPALIDAD DE FUTRONO;106880;69.200.700-K;1176930;MEDIO AMBIENTE ASEO Y ORNATO;Los Ríos
Municipalidades;I MUNICIPALIDAD DE FUTRONO;106880;69.200.700-k;3892;ILUSTRE MUNICIPALIDAD DE FUTRONO;Los Ríos
Municipalidades;I MUNICIPALIDAD DE FUTRONO;106880;69.200.700-k;3895;DEPARTAMENTO DE EDUCACIÓN;Los Ríos
Municipalidades;I MUNICIPALIDAD DE FUTRONO;106880;69.200.700-k;3896;DEPARTAMENTO DE SALUD;Los Ríos
Municipalidades;I MUNICIPALIDAD DE FUTRONO;106880;69.200.700-k;5612;SECPLAN;Los Ríos
Municipalidades;I MUNICIPALIDAD DE FUTRONO;106880;69.200.700-k;577488;CENTRO DE DESARROLLO LOCAL;Los Ríos
Municipalidades;I MUNICIPALIDAD DE FUTRONO;106880;69.200.700-k;5832;DIRECCION DE OBRAS MUNICIPALES;Los Ríos
Municipalidades;I MUNICIPALIDAD DE FUTRONO;106880;69.200.700-k;5836;DIRECCION DE DESARROLLO COMUNITARIO;Los Ríos
Municipalidades;I MUNICIPALIDAD DE FUTRONO;106880;69.200.700-k;5837;DEPARTAMENTO SOCIAL;Los Ríos
Municipalidades;I MUNICIPALIDAD DE FUTRONO;106880;69.200.700-K;885630;PROGRAMA MAS CAPAZ LICEO LLIFEN;Los Ríos
Otros;EMPRESA PORTUARIA ANTOFAGASTA;1069779;73.968.300-9;534704;EMPRESA PORTUARIA ANTOFAGASTA;Antofagasta
Otros;EMPRESA PORTUARIA ANTOFAGASTA;1069779;73.968.300-9;536937;GERENCIA GENERAL A;Antofagasta
Salud;HOSPITAL METROPOLITANO DE SANTIAGO;1076658;61.979.450-8;538598;ABASTECIMIENTO;Metropolitana
Otros;JUNTA NACIONAL DE CUERPOS DE BOMBEROS DE CHILE;1079772;70.073.800-0;540362;JUNTA NACIONAL DE CUERPOS DE BOMBEROS DE CHILE;Metropolitana
Gob. Central, Universidades;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;1083414;61.979.490-7;542429;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;Metropolitana
Gob. Central, Universidades;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;1083414;61.979.490-7;752589;T.T.A. REGION DE ANTOFAGASTA;Antofagasta
Gob. Central, Universidades;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;1083414;61.979.490-7;752590;T.T.A. REGION DE ARICA Y PARINACOTA;Arica y Parinacota
Gob. Central, Universidades;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;1083414;61.979.490-7;752615;T.T.A. REGION DE COQUIMBO;Coquimbo
Gob. Central, Universidades;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;1083414;61.979.490-7;752616;T.T.A. REGION DE TARAPACA.;Tarapacá
Gob. Central, Universidades;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;1083414;61.979.490-7;752617;T.T.A. REGION DE ATACAMA;Atacama
Gob. Central, Universidades;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;1083414;61.979.490-7;752618;T.T.A. REGION DE VALPARAISO;Valparaíso
Gob. Central, Universidades;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;1083414;61.979.490-7;752619;T.T.A. REG. METROPOLITANA 1;Metropolitana
Gob. Central, Universidades;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;1083414;61.979.490-7;752620;T.T.A. REG. METROPOLITANA 2;Metropolitana
Gob. Central, Universidades;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;1083414;61.979.490-7;752621;T.T.A. REGION METROPOLITANA 3;Metropolitana
Gob. Central, Universidades;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;1083414;61.979.490-7;752622;T.T.A. REGION METROPOLITANA 4;Metropolitana
Gob. Central, Universidades;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;1083414;61.979.490-7;752648;T.T.A. REGION DE OHIGGINS;Lib. Gral. Bdo. O'Higgins
